Accession	Virus	Strain	Author	Publication_Title	Journal	Database
Fred_Hutch_seq_105	Mumps	Washington.USA/6.17/FH105/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_19	Mumps	Washington.USA/8.17/FH19/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_35	Mumps	Washington.USA/12.17/FH35/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_25	Mumps	Washington.USA/3.17/FH25/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_71	Mumps	Washington.USA/4.17/FH71/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_70	Mumps	Washington.USA/4.17/FH70/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_28	Mumps	Washington.USA/52.16/FH28/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_6	Mumps	Washington.USA/1.17/FH6/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_8	Mumps	Washington.USA/1.17/FH8/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_34	Mumps	Washington.USA/12.17/FH34/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_74	Mumps	Washington.USA/22.17/FH74/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_152	Mumps	Washington.USA/16.17/FH152/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_52	Mumps	Washington.USA/10.17/FH52/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_61	Mumps	Washington.USA/7.17/FH61/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_57	Mumps	Washington.USA/12.17/FH57/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_9	Mumps	Washington.USA/5.17/FH9/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_59	Mumps	Washington.USA/3.17/FH59/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_30	Mumps	Washington.USA/5.17/FH30/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_58	Mumps	Washington.USA/2.17/FH58/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_23	Mumps	Washington.USA/2.17/FH23/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_4	Mumps	Washington.USA/50.16/FH4/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_55	Mumps	Washington.USA/49.16/FH55/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_77	Mumps	Washington.USA/1.17/FH77/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_26	Mumps	Washington.USA/2.17/FH26/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_66	Mumps	Washington.USA/2.17/FH66/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_60	Mumps	Washington.USA/4.17/FH60/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_29	Mumps	Washington.USA/1.17/FH29/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_75	Mumps	Washington.USA/52.16/FH75/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_43	Mumps	Washington.USA/10.17/FH43/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_42	Mumps	Washington.USA/9.17/FH42/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_5	Mumps	Washington.USA/1.17/FH5/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_160	Mumps	Washington.USA/1.17/FH160/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_11	Mumps	Washington.USA/5.17/FH11/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_10	Mumps	Washington.USA/5.17/FH10/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_46	Mumps	Washington.USA/51.16/FH46/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_33	Mumps	Washington.USA/50.16/FH33/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_149	Mumps	Washington.USA/23.17/FH149/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_32	Mumps	Washington.USA/30.17/FH32/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_150	Mumps	Washington.USA/23.17/FH150/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_56	Mumps	Washington.USA/11.17/FH56/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_24	Mumps	Washington.USA/3.17/FH24/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_49	Mumps	Washington.USA/4.17/FH49/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_13	Mumps	Washington.USA/6.17/FH13/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_45	Mumps	Washington.USA/49.16/FH45/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_2	Mumps	Washington.USA/50.16/FH2/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_97	Mumps	Washington.USA/12.17/FH97/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_148	Mumps	Washington.USA/20.17/FH148/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_39	Mumps	Washington.USA/17.17/FH39/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_20	Mumps	Washington.USA/15.17/FH20/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_73	Mumps	Washington.USA/20.17/FH73/G	Moncla et al	Unpublished		Genbank
Fred_Hutch_seq_69	Mumps	Washington.USA/21.17/FH69/G	Moncla et al	Unpublished		Genbank
